slug,name,country,category,tags,founded,funding_stage,modality,form_factor,interface_depth,indication,target_user,regulatory_stage,description,analyst_note,website,profile_url,logo_url,related_slugs
cionic,Cionic,USA,Neuromodulation,Therapeutics; Closed-loop,2018,Series A,Motor prosthetics,,,Multi-indication,,FDA cleared (510k),Developing an FDA-cleared wearable functional electrical stimulation sleeve that uses sensors and adaptive stimulation to improve gait in neurological mobility impairment.,"Cionic is positioned in functional electrical stimulation wearables, with a strong focus on adaptive gait correction using real-time sensor feedback. Its FDA clearance and consumer-friendly sleeve form factor place it ahead of many rehabilitation startups, though it competes with both clinical FES systems and emerging soft robotics solutions.",http://cionic.com,https://www.neurofounders.co/startups/cionic,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/697b566a236c96f939c5928c_cionic_logo.jpeg,kandu; encora-therapeutics; cala-health; charco-neurotech; rune-labs
clarity,Clarity,USA,Neuromodulation,Aging; Therapeutics,2022,Series A,Light/sound,,,Dementia/impairment,,Investigational,Developing a non-invasive headset using 40 Hz light and sound stimulation to restore brain rhythms in Alzheimer’s and related disorders,"Clarity operates in the growing gamma-stimulation segment for Alzheimer’s, using 40 Hz audiovisual entrainment to target disease-modifying pathways. It sits alongside Cognito Therapeutics but remains earlier-stage, with differentiation primarily around device design and delivery rather than underlying biological mechanism.",https://www.clarity-technologies.com/,https://www.neurofounders.co/startups/clarity,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bc8fa0f37be7700a21805_clarity_digital_brain_clinic_logo.jpeg,cognito-therapeutics; grey-matter-neurosciences; neuroem-therapeutics; bottneuro
clee-medical,Clee Medical,Switzerland,Tools and Infrastructure,OEM; Clinical Workflows,2024,Seed,Others,,,Multi-indication,,Preclinical,"Developing ultra-high-resolution intraoperative imaging with AI navigation to enable minimally invasive, precise brain surgery.","Clee Medical is positioned in intraoperative imaging and navigation, aiming to improve surgical precision through high-resolution imaging combined with AI guidance. As an early-stage entrant, it competes with established surgical navigation systems but focuses on increasing resolution and minimally invasive applicability.",https://www.cleemedical.com/,https://www.neurofounders.co/startups/clee-medical,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bc956614b475c96af5d99_1728994312424.jpeg,omniscient; sensome; sense-neuro-diagnostics; cercare-medical; cerebriu
coapt,Coapt,USA,Tools and Infrastructure,Machine Learning; Assistive Technology,2012,Acquired,EMG,,,Rehabilitation,,FDA cleared (510k),"Developing AI-powered myoelectric control software that enables intuitive, adaptive control of prosthetic limbs.","Coapt is best understood as a software-first prosthetics control company, using pattern-recognition EMG to enable intuitive, adaptive limb control without requiring new hardware. Its acquisition reflects strong validation, and it remains a key enabler layer within the broader prosthetics ecosystem.",https://coaptengineering.com/,https://www.neurofounders.co/startups/coapt,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69510ac36a465ec82c9eae6c_coapt_logo.jpeg,control-bionics; onward-medical; synaptrix-labs; spinex; morph-labs
cogitat,Cogitat,UK,Tools and Infrastructure,Machine Learning; Data Infrastructure,2020,Seed,EEG,,,Multi-indication,,Unknown,Developing AI-driven EEG decoding software to enable device-agnostic brain-computer interaction and neural signal interpretation.,"Cogitat is positioned as a device-agnostic EEG decoding layer, similar to Arctop but with a stronger assistive technology focus in stroke and rehabilitation. Its value lies in abstracting signal interpretation, though differentiation depends on model performance and clinical validation rather than hardware innovation.",https://cogitat.io/,https://www.neurofounders.co/startups/cogitat,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69510b0ca9e2df943246a7b3_cogitat_logo.jpeg,
cognision,Cognision,USA,Neuroimaging,Diagnostics; Clinical Workflows,2004,Series C+,EEG,,,Dementia/impairment,,FDA cleared (510k),"Providing an FDA-cleared portable ERP/EEG system for objective assessment of cognitive impairment in dementia, concussion, and TBI.","Cognision occupies a unique position in ERP-based cognitive diagnostics, offering objective EEG-derived metrics rather than subjective cognitive testing. Its FDA clearance provides a regulatory moat, though adoption depends on clinician willingness to integrate EEG into routine assessment workflows.",https://www.cognision.com/,https://www.neurofounders.co/startups/cognision,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bc98866f40e1da7ecc8ea_1631300636754.jpeg,brainsightai; cercare-medical; braincheck; braintrip; vistim-labs
cognito-therapeutics,Cognito Therapeutics,USA,Neuromodulation,Aging; Therapeutics,2016,Series C+,Light/sound,,,Dementia/impairment,,Investigational,"Evoking gamma brain waves via light and sound headset to slow Alzheimer’s progression, slowing cognitive decline, atrophy, and functional loss.","Cognito Therapeutics is one of the most advanced companies in the gamma entrainment space, with clinical evidence suggesting disease-modifying effects in Alzheimer’s. Its Series C+ funding and clinical progress position it as a leading non-invasive therapeutic contender, though long-term efficacy remains under investigation.",https://www.cognitotx.com,https://www.neurofounders.co/startups/cognito-therapeutics,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bc9bc7aac968f3408ad4e_cognito_therapeutics_inc_logo.jpeg,clarity; grey-matter-neurosciences; neuroem-therapeutics; bottneuro; cognision
cognixion,Cognixion,USA,Brain-Computer Interface,Assistive Technology; AR/VR,2014,Seed,EEG,,,Paralysis/motor,,Investigational,"Empowering communication with a wireless AR headset that blends non-invasive EEG, AI, and augmented reality to help users speak and interact.","Cognixion combines EEG with AR interfaces to create a multimodal communication system for patients with severe motor impairment, positioning it beyond traditional BCIs. Its differentiation lies in integrating interface and decoding into a single product, though it remains early-stage.",https://www.cognixion.com/,https://www.neurofounders.co/startups/cognixion,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bcbb9354b4aa9fc88a0c0_cognixion_logo.jpeg,brainphonics; control-bionics; paradromics; fluent-bci; axoft
cognoa,Cognoa,USA,Diagnostics and Assessment,Pediatric; Diagnostics,2013,Series B,Software,,,Psychiatry,,Other approval,"Providing AI-powered tools (Canvas Dx) for rapid, equitable autism diagnosis in young children, and is developing digital therapeutics to improve behavioral health","Cognoa is one of the few FDA-approved digital diagnostic companies in pediatric neurology, with Canvas Dx enabling early autism detection via software. Its regulatory status and clinical validation give it a strong position, though reimbursement and adoption remain key scaling factors.",https://cognoa.com,https://www.neurofounders.co/startups/cognoa,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bcbd8ee2ff8e7c35693b3_cognoa_logo.jpeg,braincheck; cognision; brainsightai; braintrip; cercare-medical
cogwear,Cogwear,USA,Tools and Infrastructure,Monitoring; Decision Support,2019,Seed,EEG,,,Research,,Research only,"Developing EEG-based wearable systems for cognitive performance monitoring in high-demand operational environments including military, aviation, and first responders.","Cogwear occupies the defence and high-stakes operational environment cognitive monitoring niche, differentiating from consumer EEG companies through ruggedised hardware and enterprise/government deployment contexts. This is a commercially viable but niche segment where DARPA and defence agency contracts can provide early revenue without requiring broad clinical adoption.",https://www.cogweartech.com/,https://www.neurofounders.co/startups/cogwear,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69df88a6b225eb82b9374447_cogwear_logo.jpg,zander-labs; g-tec; emotiv; bitbrain; pison-technology
coherence-neuro,Coherence Neuro,UK,Neuromodulation,Closed-loop; Therapeutics,2022,Series A,Others,,,Tumors,,Investigational,"Implementing precision bioelectronic therapy with SOMA-1, an implant during glioblastoma surgery that continuously monitors and disrupts tumor-driving electrical signals.","Coherence Neuro sits at the intersection of oncology and neurotechnology, using bioelectronic implants to modulate tumor-associated electrical activity in glioblastoma. This is a highly novel approach with limited precedent, placing it in a high-risk, high-reward translational category.",https://coherenceneuro.com,https://www.neurofounders.co/startups/coherence-neuro,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bcbf25131884378a361bd_coherenceneuro_logo.jpeg,qv-bioelectronics; neurosoft-bioelectronics; wise; cordance-medical; nia-therapeutics
comind,CoMind,UK,Neuroimaging,Monitoring; Clinical Workflows,2018,Series A,Light/sound,,,General brain health,,Investigational,"Developing a non-invasive infrared-based brain monitoring system to provide real-time cerebral perfusion, autoregulation, and intracranial pressure insights in critical care.","CoMind is differentiated by its focus on continuous cerebral hemodynamics monitoring using infrared sensing, targeting ICU and critical care settings. It sits adjacent to invasive ICP monitoring but offers a non-invasive alternative, though clinical validation will determine adoption.",https://www.comind.io/,https://www.neurofounders.co/startups/comind,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69510c386c7364845bbdf807_1661973511336.jpeg,sens-ai; neuro42; brainkey; deepspin; optohive
connectoma-neurotech,Connectoma Neurotech,Spain,Neuromodulation,Therapeutics; Machine Learning,2024,Pre-seed,TMS,,,Psychiatry,,Unknown,Developing AI- and fMRI-guided TMS protocols for personalized treatment of resistant depression and related psychiatric conditions.,"Connectoma Neurotech appears positioned around protocol and targeting personalization rather than proprietary stimulation hardware. Its current placement is early clinical deployment, with public validation still relying more on adjacent accelerated TMS literature than company-specific outcomes.",https://www.connectoma.com,https://www.neurofounders.co/startups/connectoma-neurotech,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a41e0fa971bc3c155ef8195_connectoma_neurotech_logo.jpeg,wave-neuroscience; magnus-medical; brainsway; ampa-health; sinaptica-therapeutics
connectome-health,Connectome Health,United Kingdom,Consumer Neurotech,Monitoring; Aging,2024,Seed,fNIRS,,,General brain health,,Non-medical,"Delivering fast, non-invasive fNIRS brain scans with AI insights to track cognitive focus, memory, resilience, and longevity in real time.","Connectome Health positions itself in consumer fNIRS neuroimaging, translating traditionally lab-bound technology into real-time cognitive metrics for individuals. Its wellness framing expands accessibility but limits clinical credibility and reimbursement pathways.",https://www.connectome.health,https://www.neurofounders.co/startups/connectome-health,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69cd1d48f512855dc7b62ef1_connectome_health_logo%20(1).jpeg,mendi; muse; kernel; neuronic; earable-neuroscience
control-bionics,Control Bionics,Australia,Tools and Infrastructure,Assistive Technology; Closed-loop,2006,Public,EMG,,,Paralysis/motor,,FDA cleared (510k),Developing assistive communication technologies that enable individuals with severe physical disabilities to interact with computers and speech-generating devices.,"Control Bionics is positioned as a clinically validated assistive communication company leveraging EMG-based interfaces to enable interaction for patients with severe motor impairment. Its FDA-cleared systems and long operating history place it among the more mature players in non-invasive assistive neurotech, though its technology is evolutionary rather than paradigm-shifting.",https://www.controlbionics.com/,https://www.neurofounders.co/startups/control-bionics,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69510c98071292cdd82def86_control_bionics_logo.jpeg,coapt; brainphonics; onward-medical; synaptrix-labs; cognixion
cordance-medical,Cordance Medical,USA,Neuromodulation,Therapeutics; Diagnostics,2018,Seed,Ultrasound,,,Multi-indication,,Preclinical,Developing a non-invasive focused ultrasound platform to precisely open the blood–brain barrier and enable targeted drug delivery and brain diagnostics.,"Cordance Medical sits in the emerging focused ultrasound segment targeting blood–brain barrier opening for drug delivery, a modality gaining traction in oncology and neurology. Its differentiation lies in combining therapeutic delivery with potential diagnostic applications, though it remains early-stage relative to more established ultrasound players like Insightec.",https://www.cordancemedical.com/,https://www.neurofounders.co/startups/cordance-medical,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69510cfffc69601402300e1d_cordance_medical_logo.jpeg,theta-neurotech; elda-braintech; neurobell; brainscan; brainsightai
cortec,CorTec,Germany,Brain-Computer Interface,Closed-loop; Therapeutics,2010,Unknown,ECoG,,,Rehabilitation,,Investigational,"Building a fully implantable, bidirectional neurostimulation and recording platform designed to restore neural function by sensing brain activity and delivering adaptive stimulation in closed loop.","CorTec is developing a fully implantable closed-loop neurostimulation platform, positioning itself as a next-generation alternative to traditional DBS systems with integrated sensing and adaptive stimulation. Its bidirectional architecture aligns with the broader shift toward closed-loop neuromodulation, though commercialization timelines remain unclear.",https://cortec-neuro.com/,https://www.neurofounders.co/startups/cortec,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bcc5fe3d5bfd307a6dd11_1631390184453%20(1).jpeg,neuralink; precision-neuroscience; synchron; onward-medical; ability-neurotech
cortical-labs,Cortical Labs,Australia,Tools and Infrastructure,Data Infrastructure; Experimental,2019,Series A,MEA,,,Research,,Non-medical,"Developing the CL1 'biocomputer', a silicon-embedded, lab-grown neuron platform (SBI) that learns via real-time neural code execution.","Cortical Labs is best understood as a frontier “biocomputing” company, combining living neurons with silicon hardware to create hybrid computational systems. While scientifically novel, its commercial applications remain exploratory, positioning it more as research infrastructure than a near-term product company.",https://corticallabs.com,https://www.neurofounders.co/startups/cortical-labs,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bcc9de3d5bfd307a6efa6_cclabs_ai_logo.jpeg,maxwell-biosystems; 3brain; emteq-labs; open-neurotech; cambridge-neurotech
corticale,Corticale,Italy,Brain-Computer Interface,Experimental; Therapeutics,2021,Non-dilutive,ECoG,,,Communication,,Research only,Developing minimally invasive CMOS-based cortical implants (SiNAPS) that record from thousands of neurons for high-resolution brain-computer interfaces.,"Corticale is developing high-density cortical implants using CMOS technology to achieve large-scale neural recording with minimal invasiveness. It sits in the next-generation ECoG BCI category alongside Precision Neuroscience, though still at an early translational stage.",https://www.corticale.com/,https://www.neurofounders.co/startups/corticale,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/697b5cf8cb48e3c9a4a58dc7_1630626824477.jpeg,precision-neuroscience; fluent-bci; neuroxess; ability-neurotech; axoft
cortivision,CortiVision,Poland,Neuroimaging,Data Infrastructure; Monitoring,2020,Bootstrapped,fNIRS,,,Research,,Research only,"Enabling mobile, high-density fNIRS brain imaging, used from labs to the ISS, tracking brain activity via oxygenation, multimodal interactions, and hyperscanning.","CortiVision is positioned as a high-density fNIRS hardware provider, enabling portable, research-grade brain imaging in real-world environments. Its differentiation lies in spatial resolution and portability, though it remains squarely in the research-tools market rather than clinical deployment.",https://www.cortivision.com,https://www.neurofounders.co/startups/cortivision,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bcc753a47c151ab7c5ed3_biovr_sp_z_o_o_logo.jpeg,gowerlabs; kernel; anthriq; bitbrain; neuroconcise
cranius-therapeutics,CraniUS Therapeutics,USA,Tools and Infrastructure,Experimental; Clinical Workflows,2021,Series A,Others,,,Tumors,,Preclinical,"Developing a skull-embedded, pump-driven intracranial drug delivery platform designed for repeatable, targeted convection-enhanced infusion beyond the blood-brain barrier.","CraniUS Therapeutics targets a specific bottleneck in CNS drug delivery with its implantable convection-enhanced delivery system, enabling repeated, localized dosing beyond the blood–brain barrier. This positions it as enabling infrastructure for neuro-oncology therapies rather than a standalone therapeutic company.",https://craniustherapeutics.com/,https://www.neurofounders.co/startups/cranius-therapeutics,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/698af5c8fc78763596e9407f_cranius_llc_logo.jpeg,nia-therapeutics; clee-medical; wise; neuspera
ctrl-labs,CTRL-labs (Meta),USA,Consumer Neurotech,Assistive Technology; AR/VR,2015,Acquired,EMG,,,Wellness,,Non-medical,"Built a neural-interface wristband decoding hand-movement intent via sEMG, paving the way for gesture-free device control and AR/VR input (acquired by Meta).","CTRL-labs, now part of Meta, pioneered non-invasive EMG-based neural interfaces for gesture-free control, effectively creating a new input paradigm for AR/VR. Its acquisition validates peripheral neural interfaces as a strategic layer in human–computer interaction.",https://tech.facebook.com/reality-labs/,https://www.neurofounders.co/startups/ctrl-labs,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bc7c525c85358ea517364_ctrl_labs_logo.jpeg,brainco; apollo-neuro; pison-technology; wisear; halo-neuroscience
cumulus-neuroscience,Cumulus Neuroscience,UK,Tools and Infrastructure,Data Infrastructure; Monitoring,2015,Seed,Biomarkers,,,Multi-indication,,FDA cleared (510k),"Developing a wearable EEG and digital biomarker platform to enable remote, objective measurement of brain function in clinical trials and neuroscience research.","Cumulus Neuroscience is positioned as a pharma-facing EEG biomarker platform, enabling remote and scalable CNS data collection for clinical trials. Its FDA-cleared headset and focus on decentralized trials align with broader shifts in clinical research infrastructure.",https://www.cumulusneuro.com/,https://www.neurofounders.co/startups/cumulus-neuroscience,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69510db031cf534ee2ee89db_cumulusneuroscience_logo.jpeg,insai; evocal-health; bios-health; qmenta; icometrix
curonix,Curonix,USA,Neuromodulation,Therapeutics; Clinical Workflows,2003,Unknown,Nerve stimulator,,,Pain/migraine,,FDA cleared (510k),"Developing StimRouter, a minimally invasive peripheral nerve stimulation system with an implantable lead and externally worn wireless pulse transmitter for chronic pain treatment.","Curonix's StimRouter occupies the minimally invasive implantable PNS segment alongside SPR Therapeutics, with a wirelessly powered architecture that reduces the implant burden relative to fully independent battery-powered systems. Its FDA clearance across multiple chronic pain anatomical locations gives it broad applicability, though commercial traction requires overcoming physician familiarity with conventional SCS platforms.",https://curonix.com/intl/,https://www.neurofounders.co/startups/curonix,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69df70a5e364c1646298a592_curonix_logo.jpg,neuronoff; capri-medical; nalu-medical; neuros-medical; spr-pain-relief
dandelion-science,Dandelion Science,USA,Neuromodulation,Therapeutics; Machine Learning,2020,Non-dilutive,Software,,,Vision,,Investigational,Developing a generative AI-driven neuromodulation platform for non-invasive programmable neurotherapeutics targeting brain disorders.,"Dandelion Science sits at the intersection of AI and neuromodulation, proposing programmable, software-defined neurotherapeutics delivered non-invasively. While conceptually compelling, it remains preclinical and dependent on demonstrating that software-layer optimization meaningfully improves outcomes.",https://www.dandelion.science,https://www.neurofounders.co/startups/dandelion-science,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69ce80da17b1c18b581278ab_dandelion_science_corp_logo.jpeg,axorus; prima-mente; bios-health; neuralpulse; manava-plus
deegtal,DEEGtal,Switzerland,Diagnostics and Assessment,Diagnostics; Decision Support,2024,Seed,EEG,,,Epilepsy,,Investigational,"Delivering an AI-driven platform that enhances traditional EEG analysis by uncovering complex, visually silent patterns, enabling faster, more accurate epilepsy diagnoses.","dEEGtal is positioned as an AI augmentation layer for EEG interpretation, focusing on uncovering subtle patterns missed by human review in epilepsy diagnostics. It competes in a crowded clinical AI space where differentiation depends heavily on validation and integration into workflows.",https://www.deegtal.ai/,https://www.neurofounders.co/startups/deegtal,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bdb134d203464cf8b2297_deegtal_logo.jpeg,farow; brainsightai; ceribell; neuronostics; eysz
deep-sleep-technologies,Deep Sleep Technologies,Netherlands,Neuromodulation,Closed-loop; Monitoring,2024,Pre-seed,Light/sound,,,Sleep,,Non-medical,"Developing closed-loop, brainwave-synchronized acoustic neurostimulation technology designed to enhance deep sleep and reduce daytime fatigue.","The company licenses its stimulation layer into existing wearables rather than shipping its own headband, a distribution choice that trades hardware margins for faster reach into Oura's and Apple's installed base. University of Amsterdam origins and a decade of underlying sleep research give it more scientific weight than most consumer sleep-tech entrants carry.",https://www.fordeepsleep.com,https://www.neurofounders.co/startups/deep-sleep-technologies,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a71fb8cea4710e1a38af838_fordeepsleep_logo.jpeg,elemind; somnee; beacon-biosignals; apollo-neuro; nextsense
deepspin,DeepSpin,Germany,Neuroimaging,Diagnostics; Clinical Workflows,2020,Seed,(f)MRI,,,General brain health,,Investigational,"Building portable, affordable AI-powered MRI systems, delivering high-quality brain imaging at 20× lower cost, weight, and infrastructure needs.","DeepSpin aims to radically reduce MRI cost and infrastructure through portable, AI-enhanced systems, positioning itself as a disruptive entrant in neuroimaging hardware. If successful, it could expand access significantly, though it faces substantial technical and regulatory hurdles.",https://deepspin.io,https://www.neurofounders.co/startups/deepspin,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bccb88e6baebb3f93363f_deepspin_logo.jpeg,neuro42; brainkey; comind; optohive; mindaffect
earable-neuroscience,Earable Neuroscience,USA,Consumer Neurotech,Wellness; Monitoring,2018,Seed,ExG,,,Wellness,,Non-medical,"Delivering a smart EEG brainband that tracks sleep, focus, and bio-signals in real time, and uses AI-driven audio feedback to enhance sleep and cognition.","Earable Neuroscience is positioned in the consumer EEG wearable space with an emphasis on sleep and cognitive enhancement via real-time feedback. Its differentiation lies in combining sensing with audio-based intervention, though it remains in the wellness category.",https://frenzband.com,https://www.neurofounders.co/startups/earable-neuroscience,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bcddf53c66b068a8a180a_earableai_logo.jpeg,pison-technology; neurosity; somnee; mendi; sens-ai
eightsix-science,Eightsix Science,UK,Tools and Infrastructure,OEM; Experimental,2023,Pre-seed,Others,,,Multi-indication,,Preclinical,Developing biohybrid brain tissue grafts made through advanced bioprinting to restore brain function and enable direct interfacing with neural circuits.,"Eightsix Science is pursuing biohybrid tissue grafts for brain repair, placing it at the intersection of regenerative medicine, bioprinting, and neural interfacing. This is a scientifically ambitious infrastructure-and-therapy hybrid that remains firmly preclinical.",https://eightsix.science/,https://www.neurofounders.co/startups/eightsix-science,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69c8040178f57527cbdc386f_blank-avatar-photo-place-holder-600nw-1095249842.webp,cahira-technologies; brainscan; time-is-brain; cortical-labs; maxwell-biosystems
elda-braintech,ELDA BrainTech,Israel,Neuroimaging,Diagnostics; Decision Support,2022,Unknown,EEG,,,Epilepsy,,Investigational,"Combining MRI-compatible EEG cap with AI to pinpoint epileptic zones via simultaneous EEG–fMRI recordings, improving diagnosis precision.","ELDA BrainTech is developing combined EEG–fMRI analysis tools for epilepsy localization, targeting improved diagnostic precision in surgical planning. Its multimodal approach offers higher accuracy than single-modality systems but increases complexity and cost.",https://www.elda-ai.com,https://www.neurofounders.co/startups/elda-braintech,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bcd78f6224e331b9d523e_elda_braintech_logo.jpeg,neurobell; deepspin; epitel; theta-neurotech; braincapture
electrocore,ElectroCore,USA,Neuromodulation,Therapeutics; Clinical Workflows,2005,Public,VNS,,,Pain/migraine,,FDA cleared (510k),"Developing gammaCore, an FDA-cleared non-invasive vagus nerve stimulation handheld device for the treatment of migraine, cluster headache, and other neurological conditions.","electroCore is the most commercially advanced non-invasive VNS company, holding the first FDA clearance for neck-based transcutaneous VNS and a broad migraine/cluster headache indication set with reimbursement in some settings. Its public market status and military partnerships give it a distinctive commercial profile in the growing neuromodulation headache space.",https://www.electrocore.com/,https://www.neurofounders.co/startups/electrocore,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69df7dcb6c56b009ad58cdef_electrocorellc_logo.jpg,neurolief; cefaly; theranica; secondwave-systems
elemind,Elemind,USA,Consumer Neurotech,Monitoring; Wellness,2019,Seed,EEG,,,Sleep,,Non-medical,Developing an EEG headband that uses adaptive acoustic stimulation to support faster sleep onset and consumer sleep improvement.,"Elemind sits in the consumer sleep neurotechnology segment, where EEG is used as an input for active sleep intervention. Its positioning is differentiated by closed-loop acoustic stimulation, placing it between consumer sleep wearables and more technically involved neurofeedback systems.",https://elemindtech.com,https://www.neurofounders.co/startups/elemind,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a1d4cf4dc0c568f480186e2_1677694237756.jpeg,somnee; bia-neuroscience; nextsense; idun-technologies; flectothink
emotiv,EMOTIV,USA,Neuroimaging,Data Infrastructure; Machine Learning,2011,Seed,EEG,,,Research,,Non-medical,"Offering wireless, multi-channel EEG headsets and SDKs, empowering BCI research, emotion tracking, and hands-free control across diverse applications.","EMOTIV is one of the most established consumer/research EEG hardware companies, offering accessible headsets with a strong developer ecosystem. Its longevity and brand recognition are key advantages, though it operates primarily outside clinical markets.",https://www.emotiv.com/,https://www.neurofounders.co/startups/emotiv,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bcd91e249f3def94c28ad_emotiv_logo.jpeg,g-tec; kernel; anthriq; bitbrain; synchroni
empatica,Empatica,USA,Diagnostics and Assessment,Monitoring; Clinical Workflows,2013,Series B,Multimodal,,,Parkinson's,,FDA cleared (510k),Developing medical-grade wearable sensors and analytics to enable remote monitoring and detection of neurological and physiological events.,"Empatica is a leading player in medical-grade wearables, with FDA-cleared devices for seizure detection and physiological monitoring. Its strong clinical validation and pharma partnerships position it at the intersection of digital health and neurotech.",https://www.empatica.com/,https://www.neurofounders.co/startups/empatica,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/695122c12c52733e809ffd02_empatica_logo.jpeg,theta-neurotech; rune-labs; great-lakes-neurotech; kneu-health; encora-therapeutics
emteq-labs,Emteq Labs,UK,Tools and Infrastructure,Machine Learning; Monitoring,2015,Seed,Biomarkers,,,Research,,Research only,Developing AI-powered emotion-sensing eyewear that captures facial muscle activity for health and behavioral insights.,"Emteq Labs focuses on emotion-sensing via facial EMG embedded in wearable devices, targeting behavioral analytics and affective computing. Its positioning is adjacent to neurotech but more aligned with human–computer interaction and XR applications.",https://www.emteqlabs.com,https://www.neurofounders.co/startups/emteq-labs,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69ce83edb97c09343e1f6d17_emteqlabs_logo.jpeg,somareality; cortical-labs; maxwell-biosystems; nextmind-snap-ar
emvision,EMVision,Australia,Neuroimaging,Diagnostics; Clinical Workflows,2017,Public,Others,,,Stroke,,Investigational,"Developing portable electromagnetic brain imaging systems to enable rapid, point-of-care diagnosis of stroke and other acute neurological conditions.","EMVision is developing portable electromagnetic imaging for stroke diagnosis, offering a radiation-free alternative to CT. Its point-of-care focus targets emergency settings, though it remains in the investigational stage.",https://www.emvisionmedical.com/,https://www.neurofounders.co/startups/emvision,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6951231e8bbb068588e4b8f5_emvision_medical_devices_ltd_logo.jpeg,sense-neuro-diagnostics; artiria-medical; resolve-stroke; neuro42; brainomix
encora-therapeutics,Encora Therapeutics,USA,Neuromodulation,Closed-loop; Clinical Workflows,2018,Seed,Nerve stimulator,,,Other,,FDA cleared (510k),Developing non-invasive neuromodulation therapies targeting peripheral nerves to treat chronic neurological conditions such as essential tremor.,"Encora Therapeutics is positioned in peripheral neuromodulation for movement disorders, particularly essential tremor. Its non-invasive approach competes with Cala Health but remains earlier in clinical validation.",https://encoratherapeutics.com/,https://www.neurofounders.co/startups/encora-therapeutics,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69960c32df311184f33f71b6_encoratherapeutics_logo.jpeg,cionic; empatica; charco-neurotech; cala-health; rune-labs
eneura-edb82,eNeura,United States,Neuromodulation,Therapeutics; Monitoring,2000,Series C+,TMS,,,Pain/migraine,,FDA cleared (510k),Providing FDA-cleared single-pulse transcranial magnetic stimulation devices for acute and preventive migraine treatment at home.,"eNeura sits in prescription home-use neuromodulation for migraine, with sTMS as a central stimulation approach distinct from peripheral nerve stimulation peers. Its profile is more mature than most migraine-device startups, with FDA-cleared indications and a long commercialization history.",https://eneura.com,https://www.neurofounders.co/startups/eneura-edb82,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69df76c6661b5e554d26fb1d_1701194242204.jpg,cefaly; electrocore; wave-neuroscience; brainsway; neurolief
