slug,name,tag
u-the-mind-company,U: The mind company,Therapeutics
vagustim,Vagustim,Experimental
vagustim,Vagustim,Wellness
vielight,Vielight,Wellness
vielight,Vielight,Experimental
viewmind,ViewMind,Diagnostics
viewmind,ViewMind,AR/VR
vistim-labs,Vistim Labs,Monitoring
vistim-labs,Vistim Labs,Aging
vonova,Vonova,Diagnostics
vonova,Vonova,Clinical Workflows
voxneuro,VoxNeuro,Diagnostics
voxneuro,VoxNeuro,Monitoring
wave-neuroscience,Wave Neuroscience,Clinical Workflows
wave-neuroscience,Wave Neuroscience,Therapeutics
wearable-devices,Wearable Devices,Assistive Technology
wearable-devices,Wearable Devices,AR/VR
wellumio,Wellumio,Diagnostics
wellumio,Wellumio,Clinical Workflows
winterlight-labs,Winterlight Labs,Diagnostics
winterlight-labs,Winterlight Labs,Aging
wise,WISE,Decision Support
wise,WISE,Clinical Workflows
wisear,Wisear,AR/VR
xanastim,XanaStim,Therapeutics
xanastim,XanaStim,Monitoring
x-trodes,X-trodes,OEM
x-trodes,X-trodes,Data Infrastructure
yneuro,Yneuro,Experimental
yneuro,Yneuro,Machine Learning
zander-labs,Zander Labs,Decision Support
zander-labs,Zander Labs,Machine Learning
zenowell,ZenoWell,Therapeutics
zenowell,ZenoWell,Wellness
zeta-surgical,Zeta Surgical,Clinical Workflows
zeta-surgical,Zeta Surgical,Machine Learning
zhiran-medical,Zhiran Medical,Assistive Technology
zhiran-medical,Zhiran Medical,Experimental
